70132;COOPERATIVA MERCADO AGROPECUARIO VIVES;;CALLE VIVES, ESQUINA RASTRO;25/06/2013;2304;5311;0;313;999;1;CNoA;08;5;
70133;COOPERATIVA MERCADO AGROPECUARIO LA KATHERINE;;CALLE REVILLAGIGEDO NO. 206, ENTRE MISION Y ESPERANZA;25/06/2013;2304;5311;0;313;999;1;CNoA;08;5;
70134;COOPERATIVA NO AGROPECUARIA DESARROLLO LOCAL CUBA-VENEZUELA;;CALLE 68 ENTRE 48 Y 49;25/06/2013;2402;5311;0;327;999;1;CNoA;08;5;
70136;COOPERATIVA NO AGROPECUARIA EL MOLINO;;CALLE 28 ENTRE 41 Y 43;25/06/2013;2409;5311;0;327;999;1;CNoA;08;5;
70137;COOPERATIVA MERCADO AGROPECUARIO 40-A;;CALLE 40-A, ENTRE 1RA Y 3RA;26/06/2013;2301;5311;0;313;999;1;CNoA;08;5;
70138;COOPERATIVA MERCADO AGROPECUARIO EL CANO;;CALLE 284, ENTRE 81 Y 83;26/06/2013;2312;5311;0;313;999;1;CNoA;08;5;
70139;COOPERATIVA MERCADO AGROPECUARIO LA AUTENTICA;;CALLE 56 ENTRE 160 Y 162-C, ZONA 6, ALAMAR;26/06/2013;2306;5311;0;313;999;1;CNoA;08;5;
70140;COOPERATIVA MERCADO AGROPECUARIO LA UNION;;CALLE 15 NO. 492, ESQUINA A 90, LOCALIDAD GUITERAS;26/06/2013;2306;5311;0;313;999;1;CNoA;08;5;
70141;COOPERATIVA MERCADO AGROPECUARIO EL PLAYERO;;CALLE 464 NO. 517, ENTRE 5TA Y 7MA, LOCALIDAD GUANABO;26/06/2013;2306;5311;0;313;999;1;CNoA;08;5;
70142;COOPERATIVA MERCADO AGROPECUARIO LAS PALMERAS;;CALLE LAZADA NORTE III Y AVENIDA SUR;26/05/2013;2310;5311;0;313;999;1;CNoA;08;5;
70143;COOPERATIVA MERCADO AGROPECUARIO LA NINA;;CALLE BENITO ANIDO S/N, ENTRE ALBUQUERQUE Y PERDOMO;26/06/2013;2305;5311;0;313;999;1;CNoA;08;5;
70144;COOPERATIVA MERCADO AGROPECUARIO CASA BLANCA;;CALLE FUERTE SAN DIEGO NO. 89 Y CARRETERA EL ASILO, CASA BLANCA;26/06/2013;2305;5311;0;313;999;1;CNoA;08;5;
70146;COOPERATIVA MERCADO AGROPECUARIO RAMON HERNANDEZ CUBILLA;;CALZADA DE DIEZ DE OCTUBRE NO.120, ENTRE ALEJANDRO RAMIREZ Y AGUA DULCE;26/06/2013;2310;5311;0;313;999;1;CNoA;08;5;
