60244;GRUPO DE TURISMO GAVIOTA, S.A.;GAVIOTA S.A.;Ave. el Puerto No. 102 Edif. La Marina e/ Justiz y Obrapia.;01/01/1998;2304;5510;0;271;020;1;MERC;25;4;60446
60245;CORPORACION COMERCIAL ANTEX, S.A.;ANTEX S.A.;AVENIDA DEL PUERTO NO. 102 EDIFICIO LA MARINA ENTRE JUSTIZ Y OBRAPIA;01/01/1998;2304;7214;0;271;020;1;CMEX;25;4;60446
60247;TECNOSUMA INTERNACIONAL, S.A.;TECNOSUMA S.A.;Calle 25 y 134, 2do piso C.Inmunoensayo;01/01/1998;2301;5190;0;692;692;1;CMEX;25;4;14385
60248;HEBER BIOTEC S.A.;HEBER BIOTEC;Ave.31 158 y 160 /Calle 8 #301, Miramar;01/01/1998;2301;5132;0;692;692;1;CMEX;25;4;14385
60250;NEURONIC S.A.;NEURONIC S.A.;Ave. 25 #15202 Cubanacan;01/01/1998;2301;5132;0;692;692;1;CMEX;25;4;14385
60252;LABORATORIOS ERON S.A;ERON S.A.;Calle 39 # 4410 44 y 46, Miramar;01/01/1998;2301;2600;0;241;999;1;MERC;25;4;
60253;GRUPO EMPRESARIAL VIAJES CUBA S.A.;VIAJES CUBA S.A.;5TA. AVENIDA ENTRE 182 Y 184;01/01/1998;2301;7290;0;256;739;1;GRUP;25;4;00256
60254;COMERCIAL CUPET S.A.;CUPET S.A.;CALLE 11 NO. 511, ENTRE D Y E, VEDADO;01/01/1998;2302;7290;1;104;614;1;CMEX;25;4;02605
60256;ASISTENCIA AL TURISTA S.A.;ASISTUR S.A.;AVE. DEL PRADO NO. 208 ENTRE TROCADERO Y COLON;01/01/1998;2304;7290;1;254;710;1;MERC;25;4;60482
60257;ZONA ESPECIALIZADA DE LOGISTICA Y COMERCIO, S.A. ZELCOM, S.A.;ZELCOM, S.A.;CARRETERA DE BERROA, KM 1;01/01/1998;2306;6302;1;271;020;1;MERC;25;4;60374
60258;COMMERCIAL CARIBBEAN NICKEL S.A.;CCN;EDIFICIO ALAMEDA DE PAULA, OFICINA 501, DESAMPARADOS NO. 166 ENTRE HABANA Y COMPOSTELA;01/01/1998;2304;5142;0;104;618;1;CMEX;25;4;02590
60259;ECOT S.A. (SIN OPERACION);ECOT S.A.;Calle 11 No.511, e/ D y E, Vedado;01/01/1998;2307;6599;0;104;999;1;MERC;25;4;00104
60260;AGENCIA DE CONTRATACION A REPRESENTACIONES COMERCIALES S.A., ACOREC S.A.;ACOREC S.A.;CALLE 22, NO. 318 ENTRE 3RAY 5TA AVENIDA;01/01/1998;2301;7290;0;174;697;1;MERC;25;4;14430
60261;LABORATORIOS DALMER S.A.;DALMER S.A.;AVE. 25 NO.15819 ENTRE 158 y 190, CUBANACAN;01/01/1998;2301;5132;0;692;692;1;MERC;25;4;14385
60265;FINATUR S.A.;FINATUR S.A.;CALLE 23 NO. 672 ESQ. D, VEDADO/20 MAYO E/AYESTARAN Y TERRIT;01/01/1998;2302;6592;0;258;999;1;MERC;25;4;00258
60266;CIMAB S.A.;CIMAB S.A.;CALLE 206 NO.1926 ENTRE 19 Y 21,REPARTO ATABEY;01/01/1998;2301;5132;0;692;692;1;CMEX;25;4;14385
60267;CORPORACION PANAMERICANA, S.A.;;AVE. 7MA. NO. 6209 E/ 62 Y 66, MIRAMAR;01/01/1998;2301;5190;0;174;697;1;MERC;25;4;14430
60268;INTERAUDIT S.A.;INTERAUDIT S.A.;AVE. ZOOLOGICO NO. 72, ENTRE 36 Y ULLOA, NUEVO VEDADO;01/01/1998;2302;7290;1;254;710;1;MERC;25;4;60482
60271;MACNOR S.A.(SIN OPERACION);MACNOR S.A.;Calle 2 #124 1ra y 3ra. Miramar;01/01/1998;2301;7290;0;211;999;1;MERC;25;4;
60272;COMPANIA HOTELERA DE LA HABANA;;CALLE F NO. 157 ENTRE CALZADA Y 9NA., VEDADO;01/01/1998;2302;5510;0;256;999;1;MERC;25;4;
60273;GRUPO EMPRESARIAL CUBASOL, S.A.;CUBASOL S.A.;CALLE 32 NOS. 507 Y 509 ENTRE 5TA Y 7MA AVE;01/01/1998;2301;5510;0;256;738;1;GRUP;25;4;00256
60274;GEOMINERA S.A.;GEOMINERA S.A.;CALZADA DE GUINES S/N E/ VIRGEN DEL CAMINO Y CALLE LINEA DEL FERROCARRIL, RPTO LOS ANGELES;01/01/1998;2308;5190;1;104;612;1;CMEX;25;4;00104
60275;INDUSTRIAS NEXUS, S.A.;;CALLE 34, ENTRE 49 Y 49 A, RPTO. KOHLY;04/10/1992;2301;7310;0;102;694;1;MERC;25;4;14388
60276;HAVANA RUM AND LIQUORS S.A. (SIN OPERACIONES PERO ES DUENA DE ACCIONES);HAVANA RUM;Calle 44 #305 3ra y 5ta ave. Miramar;01/01/1998;2301;5190;2;111;999;1;CMEX;25;4;
60277;AEROVARADERO S.A.;AEROVARADERO SA;CARRETERA WAJAY KM 1 1/2, AEROPUERTO INTERNACIONAL JOSE MARTI;01/01/1998;2313;6210;1;151;709;1;MERC;25;4;60395
60279;TECC S.A.;TECC S.A.;Calle 1ra e/152B y 154 Rpto NaUtico;01/01/1998;2301;3620;0;999;999;1;MERC;25;4;
60283;LABIOFAM S.A.;LABIOFAM S.A.;CALLE 45 NO. 2801 ENTRE 28 Y 34, REPARTO KOHLY;01/01/1998;2301;5132;0;131;878;1;CMEX;25;4;
60284;GRUPO NUEVA BANCA S.A.;NUEVA BANCA S.A;1ra #1406 e/ 14 y 16/18 # 120 e/1ra. y 3ra. Miramar;01/01/1998;2301;7214;0;257;999;1;MERC;25;4;
60285;GEOMAR S.A.;;Calle 4 No. 313 3ra y 5ta, Miramar;01/01/1998;2301;7120;0;271;020;1;MERC;25;4;60446
60286;CORPORACION CUBA RON S.A.;CUBA RON S.A.;Calle 200 #1708, e/17 y 19;01/01/1998;2301;1701;1;111;999;1;MERC;25;4;
60287;SERVICIOS ESPECIALIZADOS DE PROTECCION S.A.;SEPSA;CALLE MORRO, NO. 158 ENTRE TROCADERO Y COLON;01/01/1998;2304;7290;0;272;999;1;MERC;25;4;00272
60289;RESTAURACION NEUROLOGICA S.A.;;AVE. 15 NO. 2003, ESQ. 200, SIBONEY;01/01/1998;2301;9011;0;241;999;1;MERC;25;4;00241
60290;BANCO INTERNACIONAL DE COMERCIO S.A.;BICSA;CALLE PRIMERA NO. 1406, ENTRE 14 Y 16, MIRAMAR;01/01/1998;2301;6519;0;257;999;1;MERC;25;4;00257
60292;EMPRESA DE GESTION DEL PATRIMONIO;;NARCISO LÓPEZ NO. 5 ENTRE AVENIDA DEL PUERTO Y ENNA;01/01/1998;2304;5311;0;700;700;1;CMEX;25;4;14511
60293;TALLER DE REACONDICIONAMIENTO DE PIEZAS NAVALES E INDUSTRIALES S.A.;TRENA S.A.;CARRETERA DEL NAVAL NO.9, CASABLANCA;01/01/1998;2305;3840;0;151;855;1;MERC;25;4;11769
60295;TELEFONICA ANTILLANA S.A.;TELAN;EDIFICIO BARCELONA 3ER PISO OFIC. 322 5TA AVE ENTRE 76 Y 78;01/01/1998;2301;6420;0;161;698;1;MERC;25;4;14504
60297;ALMACENES UNIVERSALES S.A.;AUSA;FABRICA NO. 54 ENTRE ASPURU Y LINEA DEL FERROCARRIL;01/01/1998;2304;6023;0;271;020;1;MERC;25;4;60446
60298;CONSULTORES MARITIMOS S.A., COMAR;;BOYEROS NO. 867 ENTRE SANTA ANA Y AYESTARAN;01/01/1998;2302;7211;0;151;855;1;MERC;25;4;11769
60299;CITRICOS CARIBE S.A.;CITRICOS CARIBE S.A.;AVE. CARLOS MANUEL DE CESPEDES NO. 774 ENTRE CONILL Y TULIPAN;01/01/1998;2302;5190;0;131;741;1;CMEX;25;4;14536
60301;CORAL CONTAINER LINES S.A. (SIN OPERACIONES);;CALLE OFICIO NO. 170 AMARGURA Y TENIENTE REY;01/01/1998;2304;6303;0;151;999;1;MERC;25;4;
60304;PRODUCCIONES TRIMAGEN S.A.;TRIMAGEN S.A.;Calle AyestarAn #176 e/ 19 de Mayo y DesagUe;01/01/1998;2310;9411;0;271;020;1;MERC;25;4;60446
