50190;BERMEJALES BAJA S/C  ;20;2211;999900;;131;;;;;31/12/2003;N
50191;LOS PINOS;CHINCHA COJA;2211;0311;7;131;03582;MINAG;23/02/1994;;;N
50193;EL GOZO;VAQUERIA EL GOZO;2211;0311;7;131;03582;60/94;19/04/1994;;;N
50195;SUMALACARA BAJA S/C 2T/03;20;2211;011000;;658;;;;;31/12/2003;N
50196;8 DE OCTUBRE BAJA S/C 2T/03  ;20;2211;011000;;658;;;;;31/12/2003;N
50197;LA SOMBRILLA BAJA S/C;20;2211;011000;;658;;;;;31/12/2003;N
50199;MAYARI BAJA S/C ;20;2211;011000;;658;;;;;31/12/2003;N
50200;MANGO JOBO;MANGO JOBO;2211;0213;4;131;03719;MINAG;23/03/1995;;;N
50204;28 DE OCTUBRE;FINCA EL SABINO;2106;0213;4;131;08358;MINAG;17/11/1993;Res. 489/2017;sep-17;N
50205;PUERTA COLORADA;CARRETERA LA CUBANA;2106;0311;7;131;03582;MINAG;20/12/1993;;;N
50211;LA CUBANA;CARRETERA A LA CUBANA KM 7;2106;0311;7;131;03582;MINAG;01/03/1994;;;N
50212;EL JAGUEY;CARRETERA ENTRONQUE DE SAN DIEGO;2106;0311;7;131;03582;MINAG;01/03/1994;;;N
50213;EL PITIRRE;EL PITIRRE;2106;0311;7;131;03582;MINAG;19/01/1994;;;N
50216;JESUS MENENDEZ;CARRETERA BACUNAGUA KM 1;2106;0110;1;658;02381;MINAG;12/06/1994;;;N
50238;JULIAN ALEMAN;KM 7 1/2 CARRETERA A ALONSO ROJAS;2107;0215;3;131;03871;MINAG;01/06/1994;/;;N
50240;ORLANDO FERNANDEZ MONTES DE OCA;CESAR VAZQUEZ ENTRONQUE DE HERRADURA;2107;0314;7;131;12091;MINAG;02/04/1994;;;N
50242;EL HATILLO;FINCA HATILLO;2107;0216;6;131;03456;MINAG;04/04/1994;;;N
50249;LA GUIRA;CARRETERA LA GUIRA LOMA DE CANDELARIA;2107;0216;6;131;03456;MINAG;21/11/1995;;;N
50251;HUERTO;PUEBLO DE HERRADURA;2107;0213;4;131;03871;MINAG;11/12/1996;;;N
50256;LOS ENCINOS;CAYO SACRE PILOTOS;2107;0311;7;131;03719;MINAG;24/03/1998;;;N
50257;PORCINO;EL CORRAL;2107;0311;7;131;03719;MINAG;;;;N
50268;NO.3 PINAR DEL RIO;KM 2 1/2 CARRETERA A LA COLOMA;2108;0311;7;131;03577;MINAG;23/11/1993;;;N
50270;LA LUCILA;LA LUCILA SAN VICENTE;2108;0215;3;131;03872;MINAG;22/12/1993;;;N
50277;ANTONIO BRIONES MONTOTO;COMUNIDAD ANTONIO BRIONES MONTOTO;2108;0215;3;131;03872;MINAG;22/12/1993;;;N
50280;OSCAR SANCHEZ OSUNA;FINCA LA CAMPANA KM 3 1/2 BRIONES MONTOTO;2108;0216;6;131;03456;MINAG;22/12/1993;;;N
50282;HERMANOS SAIZ;KM 3 CARRETERA A CUBA NUEVA;2108;0216;6;131;03456;MINAG;22/12/1993;;;N
50283;COMBATE DE ISABEL MARIA;CAYO CANA;2108;0216;6;131;03456;MINAG;22/12/1993;;;N
50285;LAS FLORES;SAN MATEO KM 4 CARRETERA A SAN JUAN;2108;0213;4;131;03456;MINAG;01/05/1994;;;N
