Tm. Agroindustrial Azucarera
Tm. Contabilidad y Finanzas
Ing. Riego y Drenaje
Ing. Navegante
Lic. Contabilidad y Finanzas
Mecánico de Vehículos Automotores
Lic. Dirección de la Economía
Ing. Pecuario
Tm. Tecnología de Maquinado y corte de Metales
Arquitectura
Carreras del Minfar
Carreras del Minint
Diseño Industrial
Diseño Informacional
Estomatología
Extranjeros carreras del MES
Extranjeros carreras del MINED
Extranjeros carreras del MINSAP
Ing Agrícola Plan Turquino
Ing.  Minas
Ing.  Telecomunicaciones y Electrónica
Ing.  Metalúrgica 
Ing. Agrícola
Ing. Agronomía
Ing. Agronomía Plan Turquino
Ing. Agropecuaria
Ing. Biomédica
Ing. Civil
Ing. Eléctrica
Ing. Automática
Ing. Ciencias Informáticas
Ing. PrOc.esos Agroindustriales
Ing. Tecnologías Nucleares y Energéticas
Ing. Física
Ing. Forestal
Ing. Forestal Plan Turquino
Ing. Geofísica
Ing. Geología
Ing. HidraúLic.a
Ing. Industrial
Ing. Informática
Ing. Mecánica
Ing. Mecanización de la Prod Agropecuaria
Ing. Química
Lic. Comunicación SOc.ial
Lic. Contabilidad y Finanzas
Lic. Contabilidad y Finanzas Plan Turquino
Lic. Cultura Física Plan Turquino
Lic. Derecho
Lic. Economía
Lic. Artes de los Medios de Comunicación Audiovisual
Lic. Cultura Física
Lic. Educación Agropecuaria
Lic. Educación Biología Geografía
Lic. Educación Biología Química
Lic. Educación Construcción
Lic. Educación Economía
Lic. Educación Edu Laboral e Informática
Lic. Educación Eléctrica
Lic. Educación Español Literatura
Lic. Educación Especial
Lic. Educación Instructor de Arte
Lic. Educación Lengua Extranjera
Lic. Educación Logopedia
Lic. Educación Marx Leninismo e Historia
Lic. Educación Matemática 
Lic. Educación Mecánica
Lic. Educación Mecanización
Lic. Educación Pedagogía y Psicología
Lic. Educación Prescolar
Lic. Educación Primaria
Lic. Educación Química Industrial
Lic. Estudios SOc.iOc.ulturales
Lic. Filosofía Marxista Leninista
Lic. Historia
Lic. Historia del Arte
Lic. Lengua China
Lic. Lengua de Señas
Lic. Lengua y Literatura Alemana
Lic. Lengua y Literatura Francesa
Lic. Lengua y Literatura Inglesa
Lic. Lengua y Literatura Rusa
Lic. Letras
Lic. Periodismo
Lic. Preservación y Gestión del Patrimonio Cultural
Lic. Psicología
Lic. Relaciones Internacionales
Lic. SOc.iología
Lic. Turismo
Lic. Biología
Lic. Bioquímica
Lic. Ciencia de la Computación
Lic. Ciencias Alimentarias
Lic. Ciencias Farmaceúticas
Lic. Arte Danzario
Lic. Arte Teatral
Lic. Artes Plásticas
Lic. Bioanálisis Clínico
Lic. Ciencia de la Información
Lic. Enfermería
Lic. Física Nuclear
Lic. Higiene y Epidemiología
Lic. Imagenología y Radiofísica Médica
Lic. Logofonoaudiología
Lic. Meteorología
Lic. Música
Lic. Nutrición
Lic. Optometría y Á?ptica
Lic. Psicología de la Salud
Lic. Radioquímica
Lic. Rehabilitación Salud
Lic. Sistemas de Información Salud
Lic. Tecnología de la Salud
Lic. Física
Lic. Geografía
Lic. Matemática
Lic. Microbiología
Lic. Química
Medicina
Medicina Veterinaria Plan Turquino
Medicina Veterinaria y Zootecnia
Otras carreras de Nivel Superior
Oc. Agropecuaria
Oc. Ajustes Herramentista
Oc. Albañilería
Oc. Artesanía Integral
Oc. Auxiliar Elab de Alimentos
Oc. Belleza
Oc. Carpintería Blanco y Encofrado
Oc. Chapistería
Oc. Confecciones Textiles
Oc. Control de Vectores
Oc. Ebanistería
Oc. Elaboración de materiales y Productos de la Const
Oc. Elaboración de Prod de la Ind Alimenticia
Oc. Electricidad de Mantenimiento
Oc. Electricidad de Vehículos Automotores
Oc. Fresado
Oc. Hilatura Tejeduría y Acabado Textil
Oc. I Pailería Soldadura
Oc. Instalaciones Eléctricas
Oc. Instalaciones HidraúLic.as
Oc. Jardinería
Oc. Lavandería Integral
Oc. Mecánica de Equipos Ferroviarios
Oc. Mecánica de la Ind Agropecuaria
Oc. Mecánica de Mantenimiento de Equipos Industriales
Oc. Mecánica de Mtto de la Ind Ligera
Oc. Mecánica de Mtto de la Industria del Petróleo
Oc. Mecánica de Refrigeración
Oc. Mecánica de Vehículos Automotores
Oc. Mecánica y Operación de Basculador y Molinos
Oc. Mecánica y Operación de Casa de Calderas y Centrífugas
Oc. Mecánica y Operación de Equipos Agrícolas
Oc. Mecánica y Operación de Hornos y Calderas
Oc. Modelado Mecánico
Oc. Moldeador Fundidor
Oc. Mtto General de la Construcción
Oc. Mtto Y Reparación de Máquinas Herramientas
Oc. Mtto y Reparación de Vías Férreas
Oc. Operación de Máquinas de HiladoTejeduría y Acabado
Oc. Operario de Actividades Portuarias
Oc. Otras Profesiones
Oc. Rectificado
Oc. Reparación de Enseres Menores
Oc. Soldadura
Oc. Tornería
Oc. Zapatería Talabartería
Tm. Actuación
Tm. Aduana
Tm. Agronomía
Tm. Agronomía de Montaña
Tm. Agrotecnia de la caña
Tm. Alojamiento Hotelero
Tm. Análisis Clínico
Tm. Artes Plásticas
Tm. Artesanía
Tm. Atención Estomatológica
Tm. Automática
Tm. Ballet
Tm. Bibliotecología y Tec DOc.umentarias
Tm. Biofísica Médica
Tm. Biología Pesquera
Tm. Calzado Y Talabartería
Tm. Circo
Tm. Citohistopatología
Tm. Comercio
Tm. Confecciones
Tm. Conformación de Metales
Tm. Construcción Civil
