1,I,225
2,II,235
3,III,240
4,IV,250
5,V,255
6,VI,260
7,VII,275
8,VIII,285
9,IX,315
10,X,325
11,XI,365
12,XII,385
13,XIII,400
14,XIV,425
15,XV,440
16,XVI,455
17,XVII,475
18,XVIII,500
19,XIX,525
20,XX,550
21,XXI,600
22,XXII,650
