36842;LINO MENENDEZ;GRAMALES;2103;0215;3;131;11323;ANAP;15/04/1986;;;N
39871;ISIDORO GARCIA;RIO DEL MEDIO SANTA LUCIA;2103;0215;3;131;11323;ANAP;28/10/1992;;;N
39872;VLADIMIR ILICH LENIN;BIAJACA SANTA LUCIA;2103;0215;3;131;11323;ANAP;28/10/1992;;;N
39886;RAMON GONZALEZ CORO;MINAS DE MATAHAMBRE;2103;0215;3;131;11323;ANAP;13/09/1993;;;N
39994;MARIANA GRAJALES;ISABEL MARIA;2103;0215;3;131;11157;ANAP;20/02/1995;;;N
30434;JOSE CARIDAD CRESPO;EL PALMARITO;2104;0215;3;131;11141;ANAP;23/02/1996;;;N
30525;JOSE MARIA ALFONSO;ZONA SAN VICENTE;2104;0213;4;131;11141;3061;22/08/2005;;;N
36731;JOSE ANTONIO ECHEVERRIA;FINCA BLANCA;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36732;SERGIO DOPICO;LLANOS DE MANACA;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36733;ANTERO FERNANDEZ;ISABEL MARIA;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36738;MANUEL FAJARDO;ANCON;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36742;PEDRO LANTIGUA;MINAS DE LA CONSTANCIA;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36744;HERMANOS BARCON;LOS JAZMINES;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36745;RUBEN MARTINEZ VILLENA;POZO REDONDO;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36747;JOSE MARTI;PLAYUELAS;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
36748;MARINA AZCUY;OJO DE AGUA;2104;0215;3;131;11141;ANAP;28/09/1979;;;N
39365;FRUCTUOSO RODRIGUEZ;POZO REDONDO BARRIO PUERTO ESPERA;2104;0215;3;131;11141;ANAP;19/01/1987;;;N
39366;ERNESTO CASTILLO;POZO REDONDO BARRIO PUERTO ESPERA;2104;0215;3;131;11141;ANAP;19/01/1987;;;N
39374;JESUS MENENDEZ;EL YAYAL;2104;0213;4;131;11141;ANAP;13/12/1988;;;N
39875;JULIO ANTONIO MELLA;LAGUNA DE PIEDRA;2104;0215;3;131;11141;ANAP;30/10/1992;;;N
39876;ANTONIO GUITERAS;LAGUNA DE PIEDRA;2104;0215;3;131;11141;ANAP;30/10/1992;;;N
39877;ANTONIO MACEO;CUAJANI;2104;0215;3;131;11141;ANAP;30/10/1992;;;N
39879;FRANK PAIS;LAS MARAVILLAS;2104;0215;3;131;11141;ANAP;30/10/1992;;;N
30426;SANTOS CRUZ;BARRIO SANTA CRUZ;2105;0215;3;131;02491;ANAP;13/12/1995;;;N
30428;RIGOBERTO ABREU;BARRIO LA CEJA;2105;0215;3;131;11328;ANAP;13/12/1996;;;N
30430;RAFAEL FERRO;JAGUA VIEJA;2105;0215;3;131;11328;ANAP;13/12/1995;;;N
30455;CAMILO CIENFUEGOS;BARRIO EL COROJAL;2105;0311;4;131;02491;ANAP;15/08/1997;;;N
36706;FROILAN CARRASCO;ARROYO NARANJO;2105;0215;3;131;11328;ANAP;27/09/1979;;;N
36711;JOAQUIN PEREZ;VEGAS NUEVAS;2105;0215;3;131;11328;ANAP;27/09/1979;;;N
36713;PEDRO LANTIGUA;LA LIMA;2105;0215;3;131;11328;ANAP;21/09/1979;;;N
36717;MANUEL SANGUILY;TORTUGA;2105;0212;4;131;02491;ANAP;27/09/1979;;;N
36720;NICO LOPEZ;LA MULATA;2105;0213;3;131;11328;ANAP;27/09/1979;;;N
36723;ANTONIO MACEO;CAIGUANABO SAN ANDRES;2105;0215;3;131;11328;ANAP;27/09/1979;;;N
36725;JESUS MARTINEZ;GALALON SAN ANDRES;2105;0215;3;131;11328;ANAP;27/09/1979;;;N
36726;IGNACIO AGRAMONTE;PUERTO ESCONDIDO;2105;0215;3;131;11328;ANAP;27/09/1979;;;N
36728;JOSE ANTONIO ECHEVERRIA;CAYO HUESO SAN ANDRES;2105;0215;3;131;11328;ANAP;27/09/1979;;;N
39775;CONRADO BENITEZ;CEJA DEL RIO SAN ANDRES;2105;0215;3;131;11328;ANAP;19/09/1991;;;N
39776;FRANCISCO CRUZ CABALLERO;BARRIO CEJA DEL RIO SAN ANDRES;2105;0215;3;131;11328;ANAP;19/09/1991;;;N
30002;JORGE GONZALEZ ULLOA;CONSEJO POPULAR SIERRA MAESTRA;2106;0212;5;131;03845;50;02/01/2012;;;N
30489;JULIO A MELLA;CARRETERA SAN DIEGO;2106;0215;3;131;08358;0213;02/04/2003;;;N
36563;MANUEL ASCUNCE;PASO REAL;2106;0215;3;131;08358;6218;20/12/2001;;;N
36564;MENELAO MORA;MACURIJE;2106;0215;3;131;08358;6215;20/12/2001;;;N
36565;NICETO PEREZ;LA MAJAGUA;2106;0215;3;131;08358;6216;20/12/2001;;;N
36566;CAMILO CIENFUEGOS;BACUNAGUA;2106;0215;3;131;08358;0215;02/04/2002;;;N
36567;PATRICIO PAEZ;BALDAJI;2106;0215;3;131;08345;ANAP;02/04/2002;;;N
36568;EUSEBIO RAMON;PERICO GARCIA;2106;0215;3;131;08358;6220;02/04/2002;;;N
39367;ABEL SANTAMARIA;SANTA MONICA PASO REAL;2106;0215;3;131;08358;0217;02/04/2002;;;N
39368;ENRIQUE TRONCOSO;SANTA MONICA PASO REAL;2106;0215;3;131;08358;6219;25/12/2001;;;N
39796;OSCAR NUNEZ GIL;ENTRONQUE DE SAN DIEGO;2106;0215;3;131;08358;0214;02/10/2002;;;N
39797;MARTIN GONZALEZ;ENTRONQUE LOS PALACIOS;2106;0215;3;131;08358;0219;02/10/2002;;;N
39866;JOSE M AMARAN;SAN DIEGO LOMA DE CANDELARIA;2106;0215;3;131;08358;6217;20/12/2001;;;N
30406;NICO LOPEZ;LOMA DE CANDELARIA;2107;0215;3;131;03871;ANAP;30/08/1995;;;N
30407;RAFAEL FERRO;BARRIO PASO DE LOS GANSOS HERRADU;2107;0215;3;131;03871;ANAP;30/08/1995;;;N
30422;10 DE OCTUBRE;SAN FRANCISCO CARRETERA BARO;2107;0213;4;131;03871;ANAP;18/09/1995;;;N
30448;CARLOS MARX;KM 5 CARRETERA A SAN ANDRES;2107;0215;3;131;03871;ANAP;30/09/1996;;;N
30449;PEDRO REINOSO;KM 7 CARRETERA A SAN ANDRES;2107;0213;4;131;03871;ANAP;30/09/1996;;;N
30459;PEDRO LANTIGUA;BARRIO CAIMITO;2107;0215;3;131;03871;ANAP;14/11/1997;;;N
30471;APICULTURA CONSOLACION DEL SUR;EL OCUJE;2107;0314;7;131;03871;ANAP;03/09/1999;;;N
30491;26 DE JULIO;PALENQUE PUERTA DE GOLPE;2107;0215;3;131;03871;1568;24/09/1903;;;N
30563;AVILIO CASTRO;ENTRONQUE DE HERRADURA;2107;0215;3;131;03871;538;26/01/2004;;;N
30564;PATRIA O MUERTE;ARROYO DE AGUA;2107;0215;3;131;03871;038;04/07/2003;;;N
30565;CARLOS MANUEL DE CESPEDES;EL OCUJE;2107;0215;3;131;03871;039;20/03/2002;;;N
30566;ORLANDO HERRERA;EL PUNTO DE SANTA CLARA;2107;0215;3;131;03871;040;04/07/2003;;;N
30567;IGNACIO AGRAMONTE;EL ROBLAR;2107;0213;4;131;03871;041;04/07/2003;;;N
30568;MANUEL CORDERO;CARRETERA CENTRAL BECERRA;2107;0215;3;131;03871;042;20/03/2002;;;N
30569;ALFREDO NUNEZ;ZONA LA GUIRA;2107;0215;3;131;03871;037;20/03/2002;;;N
36661;HERMANOS SAIZ;PUERTA DE GOLPE;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36663;17 MAYO;PUERTA DE GOLPE;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36668;SERGIO GONZALEZ;SANTA CLARA;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36671;JUAN NAVARRO;CONSOLACION DEL SUR;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36673;MENELAO MORA;CONSOLACION DEL SUR;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36683;ANTONIO MACEO;PILOTOS;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36684;ISIDRO BARREDO;PILOTOS;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36693;LENIN;ENTRONQUE HERRADURA;2107;0215;3;131;03871;ANAP;27/09/1979;;;N
36847;MARIANA GRAJALES;CARRETERA ARROYO AGUA;2107;0215;3;131;03871;ANAP;24/04/1986;;;N
36850;ABEL SANTAMARIA;CAYO LARGO ALONSO ROJAS;2107;0215;3;131;03871;ANAP;24/04/1986;;;N
39357;PEPE PORTILLA;PILOTOS;2107;0215;3;131;03871;ANAP;26/04/1986;;;N
39358;CAMILO CIENFUEGOS;ENTRONQUE MAURY PILOTOS;2107;0215;3;131;03871;ANAP;26/04/1986;;;N
39360;ANTONIO MACEO;FINCA EL AGUILA ALONSO ROJAS;2107;0213;4;131;03871;ANAP;15/07/1986;;;N
39779;PELAYO CUERVO;KM 2 CARRETERA ALONSO ROJAS;2107;0215;3;131;03871;ANAP;09/07/1992;;;N
39780;PASCUAL MARTI;KM 2 CARRETERA ALONSO ROJAS;2107;0215;4;131;03871;ANAP;09/07/1992;;;N
39781;RUBEN MARTINEZ VILLENA;LAS PALIZADAS ALONSO ROJAS;2107;0213;4;131;03871;ANAP;09/07/1992;;;N
39787;JUAN MANUEL MARQUEZ;KM 3 CARRETERA A SAN ANDRES;2107;0215;3;131;03871;ANAP;09/07/1992;;;N
39799;JOSE HERNANDEZ LEON;ZONA EL BIJOL HERRADURA;2107;0213;4;131;03871;ANAP;09/11/1992;;;N
